,reads,umis
PZ-MB-TChIC-K562-H3K4me3-C_99,44172,44172
PZ-MB-TChIC-K562-H3K4me3-C_126,83740,83740
PZ-MB-TChIC-K562-H3K4me3-C_383,12915,12915
PZ-MB-TChIC-K562-H3K4me3-C_154,34680,34680
PZ-MB-TChIC-K562-H3K4me3-C_80,75786,75786
PZ-MB-TChIC-K562-H3K4me3-CT_249,10478,10478
PZ-MB-TChIC-K562-H3K4me3-C_247,18637,18637
PZ-MB-TChIC-K562-H3K4me3-C_343,13365,13365
PZ-MB-TChIC-K562-H3K4me3-CT_285,4265,4265
PZ-MB-TChIC-K562-H3K4me3-C_163,28793,28793
PZ-MB-TChIC-K562-H3K4me3-C_241,30659,30659
PZ-MB-TChIC-K562-H3K4me3-C_100,30599,30599
PZ-MB-TChIC-K562-H3K4me3-C_303,61148,61148
PZ-MB-TChIC-K562-H3K4me3-C_4,33479,33479
PZ-MB-TChIC-K562-H3K4me3-C_224,132583,132583
PZ-MB-TChIC-K562-H3K4me3-C_269,108085,108085
PZ-MB-TChIC-K562-H3K4me3-C_217,119041,119041
PZ-MB-TChIC-K562-H3K4me3-C_177,94313,94313
PZ-MB-TChIC-K562-H3K4me3-C_206,35346,35346
PZ-MB-TChIC-K562-H3K4me3-C_229,53798,53798
PZ-MB-TChIC-K562-H3K4me3-C_186,200667,200667
PZ-MB-TChIC-K562-H3K4me3-C_281,133557,133557
PZ-MB-TChIC-K562-H3K4me3-C_132,50626,50626
PZ-MB-TChIC-K562-H3K4me3-C_268,98592,98592
PZ-MB-TChIC-K562-H3K4me3-C_50,39577,39577
PZ-MB-TChIC-K562-H3K4me3-C_79,36064,36064
PZ-MB-TChIC-K562-H3K4me3-C_321,39128,39128
PZ-MB-TChIC-K562-H3K4me3-C_31,39646,39646
PZ-MB-TChIC-K562-H3K4me3-C_33,43283,43283
PZ-MB-TChIC-K562-H3K4me3-C_136,36752,36752
PZ-MB-TChIC-K562-H3K4me3-CT_214,5874,5874
PZ-MB-TChIC-K562-H3K4me3-CT_305,10392,10392
PZ-MB-TChIC-K562-H3K4me3-C_235,73952,73952
PZ-MB-TChIC-K562-H3K4me3-C_168,123681,123681
PZ-MB-TChIC-K562-H3K4me3-C_230,55968,55968
PZ-TChIC-K562-SC-H3K27me3-C_78,35681,35681
PZ-MB-TChIC-K562-H3K4me3-CT_373,4268,4268
PZ-MB-TChIC-K562-H3K4me3-C_204,19952,19952
PZ-TChIC-K562-SC-H3K27me3-C_218,30424,30424
