,reads,umis
PZ-MB-TChIC-K562-H3K4me3-CT_65,9650,7574
PZ-MB-TChIC-K562-H3K4me3-CT_375,16675,12810
PZ-MB-TChIC-K562-H3K4me3-CT_362,21993,16795
PZ-MB-TChIC-K562-H3K4me3-CT_334,12144,9463
PZ-MB-TChIC-K562-H3K4me3-CT_265,17152,13314
PZ-MB-TChIC-K562-H3K4me3-CT_207,15927,12269
PZ-MB-TChIC-K562-H3K4me3-CT_119,11685,9075
PZ-MB-TChIC-K562-H3K4me3-CT_13,5189,4154
PZ-MB-TChIC-K562-H3K4me3-CT_172,16994,12681
PZ-MB-TChIC-K562-H3K4me3-CT_143,20724,16095
PZ-MB-TChIC-K562-H3K4me3-CT_80,15425,11688
PZ-MB-TChIC-K562-H3K4me3-CT_187,19017,14627
PZ-MB-TChIC-K562-H3K4me3-CT_361,9504,7565
PZ-MB-TChIC-K562-H3K4me3-CT_226,14350,10986
PZ-MB-TChIC-K562-H3K4me3-CT_284,15686,12064
PZ-MB-TChIC-K562-H3K4me3-CT_125,14011,10911
PZ-MB-TChIC-K562-H3K4me3-CT_366,11704,9601
PZ-MB-TChIC-K562-H3K4me3-CT_176,17934,13776
PZ-MB-TChIC-K562-H3K4me3-CT_305,6527,5191
PZ-MB-TChIC-K562-H3K4me3-CT_360,11617,8887
PZ-MB-TChIC-K562-H3K4me3-CT_201,9568,7796
PZ-MB-TChIC-K562-H3K4me3-CT_142,21439,15900
PZ-MB-TChIC-K562-H3K4me3-CT_222,12730,10251
PZ-MB-TChIC-K562-H3K4me3-CT_178,11740,9163
PZ-MB-TChIC-K562-H3K4me3-CT_254,16820,12670
PZ-MB-TChIC-K562-H3K4me3-CT_287,19977,15250
PZ-MB-TChIC-K562-H3K4me3-CT_374,18598,14097
PZ-MB-TChIC-K562-H3K4me3-CT_98,30468,23568
PZ-MB-TChIC-K562-H3K4me3-CT_242,15162,11721
PZ-MB-TChIC-K562-H3K4me3-CT_300,33048,24565
PZ-MB-TChIC-K562-H3K4me3-CT_48,7854,6093
PZ-MB-TChIC-K562-H3K4me3-CT_35,14762,11347
PZ-MB-TChIC-K562-H3K4me3-CT_210,10964,8376
PZ-MB-TChIC-K562-H3K4me3-CT_174,17182,13232
PZ-MB-TChIC-K562-H3K4me3-CT_248,36636,28118
PZ-MB-TChIC-K562-H3K4me3-CT_260,14449,10990
PZ-MB-TChIC-K562-H3K4me3-CT_5,18841,14602
PZ-MB-TChIC-K562-H3K4me3-CT_177,8509,6978
PZ-MB-TChIC-K562-H3K4me3-CT_137,13099,10396
PZ-MB-TChIC-K562-H3K4me3-CT_71,10630,8350
PZ-MB-TChIC-K562-H3K4me3-CT_102,19134,14695
PZ-MB-TChIC-K562-H3K4me3-CT_349,15855,11961
PZ-MB-TChIC-K562-H3K4me3-CT_122,9779,7658
PZ-MB-TChIC-K562-H3K4me3-CT_4,10469,8057
PZ-MB-TChIC-K562-H3K4me3-CT_302,17100,13094
PZ-MB-TChIC-K562-H3K4me3-CT_215,13617,10296
PZ-MB-TChIC-K562-H3K4me3-CT_24,8435,6940
PZ-MB-TChIC-K562-H3K4me3-CT_327,9503,7370
PZ-MB-TChIC-K562-H3K4me3-CT_220,15997,12141
PZ-MB-TChIC-K562-H3K4me3-CT_316,15528,11967
PZ-MB-TChIC-K562-H3K4me3-CT_19,10044,7733
PZ-MB-TChIC-K562-H3K4me3-CT_261,16653,12511
PZ-MB-TChIC-K562-H3K4me3-CT_344,16253,12027
PZ-MB-TChIC-K562-H3K4me3-CT_383,7011,5538
