index,trajectories,ect1_ld,ect2_ld,ect3_ld,mes1_ld,mes2_ld,mes3_ld,pluri1_ld,pluri2_ld,endo1_ld
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_16,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_138,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_330,Mesoderm Progenitors 2,,,,Mesoderm Gastd5,,Mesoderm Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_210,Pluripotent 2,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_142,Pluripotent 2,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_17,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_15,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_286,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_19,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_283,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_381,End1,,,,,,,,,Endoderm Gastd5
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_363,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_192,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_248,Mes3,,,,,,Mesoderm Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_48,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_70,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_84,Mes1,,,,Mesoderm Gastd5,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_203,Mes1,,,,Mesoderm Gastd5,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_82,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_54,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_93,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_167,Mesoderm Progenitors,,,,Mesoderm Gastd5,Mesoderm Gastd5,Mesoderm Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_371,x,,,,,,,Pluripotent Gastd5,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_131,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_364,End1,,,,,,,,,Endoderm Gastd5
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_194,Mes1,,,,Mesoderm Gastd5,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_65,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_183,Mesoderm Progenitors 2,,,,Mesoderm Gastd5,,Mesoderm Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_118,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_245,Mes1,,,,Mesoderm Gastd5,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_26,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_168,x,,,,,,,Pluripotent Gastd5,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_217,Mesoderm Progenitors,,,,Mesoderm Gastd5,Mesoderm Gastd5,Mesoderm Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_189,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_182,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_218,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_193,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_190,x,,,,,,,Pluripotent Gastd5,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_338,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_111,Mes3,,,,,,Mesoderm Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_195,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_112,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_132,Mes3,,,,,,Mesoderm Gastd5,,,
