index,ect1_ct,ect2_ct,ect3_ct,mes1_ct,mes2_ct,mes3_ct,pluri1_ct,pluri2_ct,endo1_ct
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_18,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_95,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_277,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_317,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_233,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_220,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_176,,,,Nascent Mesoderm,,Nascent Mesoderm,,,Nascent Mesoderm
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_123,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_359,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_9,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_236,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_290,Primitive Streak,Primitive Streak,Primitive Streak,Primitive Streak,Primitive Streak,Primitive Streak,,,Primitive Streak
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_199,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_139,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_242,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_53,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_255,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_231,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_369,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_326,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_224,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_8,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_280,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_319,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_253,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_244,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_267,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_334,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_30,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_45,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_85,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_247,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_214,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_260,,,,,,,PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_63,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_342,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_264,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_170,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_273,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_117,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_155,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_14,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_250,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_366,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_140,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_55,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_256,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_4,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_327,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_22,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_232,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_107,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_311,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_198,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_32,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_116,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_164,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_294,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_270,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_122,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_114,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_163,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_185,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_275,,,,Nascent Mesoderm,,Nascent Mesoderm,,,Nascent Mesoderm
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_162,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_230,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_376,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_175,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_178,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_88,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_10,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_249,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_174,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_191,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_187,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_81,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_7,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_79,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_80,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_259,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_222,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_115,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-1_52,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_87,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_197,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_348,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_120,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_186,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_101,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_196,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_180,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_347,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_368,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_12,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_23,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_207,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_269,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_44,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_135,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_173,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_134,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_153,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_310,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_375,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_263,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_383,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_370,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_46,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_302,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_41,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_349,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_360,,,,,,,,,Parietal Endoderm
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_345,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_128,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_66,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_266,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_279,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_288,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_372,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_147,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_58,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_374,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_156,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_29,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_71,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_303,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_64,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_76,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_299,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_350,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_284,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_268,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_235,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_119,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_341,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_262,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_351,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_125,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_271,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_5,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_265,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_74,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_361,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_149,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_205,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_318,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_226,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_346,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_91,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_6,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_206,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_225,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_184,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_151,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_333,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_362,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_200,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_56,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_382,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_312,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_148,,,,,,,,Epiblast,
PZ-MB-TChIC-Gastd3-rep3-H3K27me3-2_94,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast,Caudal Epiblast
