,TA_start,total,TA_ratio,QC
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_285,1500.0,2069.0,72.49879168680522,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_326,1379.0,1731.0,79.66493356441363,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_265,1750.0,2259.0,77.46790615316512,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_107,3813.0,4532.0,84.13503971756398,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_39,3257.0,4506.0,72.28140257434532,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_101,706.0,1028.0,68.67704280155642,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_190,405.0,585.0,69.23076923076923,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_118,906.0,1159.0,78.17083692838655,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_75,120.0,291.0,41.23711340206185,bad
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_52,262.0,464.0,56.46551724137932,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_220,770.0,939.0,82.0021299254526,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_317,1680.0,2318.0,72.4762726488352,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_164,296.0,453.0,65.34216335540839,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_162,655.0,958.0,68.37160751565762,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_3,1583.0,2198.0,72.02001819836215,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_332,778.0,971.0,80.12358393408857,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_104,890.0,1164.0,76.46048109965635,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_177,394.0,552.0,71.37681159420289,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_197,716.0,896.0,79.91071428571429,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_261,2506.0,4450.0,56.31460674157304,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_278,761.0,1201.0,63.363863447127386,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_112,677.0,1128.0,60.0177304964539,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_45,872.0,1229.0,70.95199349064279,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_349,899.0,1238.0,72.61712439418416,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_106,1316.0,1670.0,78.80239520958084,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_260,1377.0,1696.0,81.19103773584906,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_15,1111.0,1390.0,79.92805755395683,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_196,487.0,654.0,74.46483180428135,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_151,279.0,418.0,66.74641148325358,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_91,479.0,661.0,72.46596066565809,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_216,577.0,836.0,69.01913875598086,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_29,1381.0,1585.0,87.12933753943217,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_98,573.0,737.0,77.74762550881954,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_327,182.0,334.0,54.49101796407185,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_245,1147.0,2223.0,51.59694107062528,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_290,298.0,499.0,59.719438877755515,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_259,1284.0,1797.0,71.45242070116862,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_211,875.0,1253.0,69.83240223463687,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_173,1866.0,2800.0,66.64285714285715,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_340,749.0,1071.0,69.93464052287581,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_328,680.0,941.0,72.2635494155154,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_74,192.0,318.0,60.37735849056604,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_266,801.0,1023.0,78.2991202346041,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_208,1332.0,1686.0,79.00355871886121,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_86,704.0,880.0,80.0,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_94,1086.0,1489.0,72.93485560779047,good
