names,names,stat,log2FoldChange,pvals,padj,p_log10
Gata4,Gata4,19.35894,1.8930317,1.7137584866820974e-83,6.997740377722198e-81,80.15504217425868
Itgb1,Itgb1,19.274733,0.6929561,8.75528539588162e-83,3.509423616802421e-80,79.45476420564162
Bmpr2,Bmpr2,19.272287,0.7917422,9.178922742778014e-83,3.6457846686792206e-80,79.43820898569916
Lifr,Lifr,19.213993,1.8360028,2.8266458893498683e-82,1.1126034734377037e-79,78.95365958856877
Pkp2,Pkp2,19.189793,2.473229,4.5042649578364286e-82,1.757105716721709e-79,78.75520210827835
Farp1,Farp1,19.115696,1.0832043,1.8690940515332952e-81,7.163384930310632e-79,78.14488171104742
Tnks,Tnks,19.092804,0.6601866,2.8978742612663234e-81,1.1009654291216256e-78,77.95822631788332
Tpm1,Tpm1,19.055931,1.5361159,5.866405886733331e-81,2.172111352519203e-78,77.66311791455969
Foxo4,Foxo4,18.987179,1.5864553,2.1771662215550293e-80,7.993493225710991e-78,77.09726338875714
Jup,Jup,18.836132,2.0125763,3.818741029389572e-79,1.3788811100418165e-76,75.86047317797113
Ube2h,Ube2h,18.831995,1.2471824,4.1291548360100775e-79,1.4787451142632485e-76,75.8301066772597
Kirrel,Kirrel,18.827003,1.2784592,4.5372065523007616e-79,1.611667410378639e-76,75.79272457589325
Dact1,Dact1,18.82556,1.7207559,4.662550580154291e-79,1.642834656431622e-76,75.78440614405903
Adamts9,Adamts9,18.815485,1.6532525,5.639107167932108e-79,1.9710258501929742e-76,75.70530767986945
Crb2,Crb2,18.76962,1.2947359,1.3383534356027596e-78,4.6407936472158864e-76,75.33340774204592
Pdgfrb,Pdgfrb,18.74849,2.1754215,1.9916494570128043e-78,6.85174460049972e-76,75.16419883377729
Arhgef40,Arhgef40,18.667728,1.3020756,9.0625050516739e-78,3.093358657911596e-75,74.5095697230225
Rcsd1,Rcsd1,18.63733,3.221317,1.6003430906402145e-77,5.420200773113303e-75,74.2659846261848
Zcchc24,Zcchc24,18.487902,1.622334,2.5841905803785396e-76,8.685066972870675e-74,73.06122682824325
Edil3,Edil3,18.442646,3.2390342,5.974406964986472e-76,1.9925787382230836e-73,72.70058450812499
Igsf3,Igsf3,18.39836,1.2855833,1.3540406179819385e-75,4.481771866685521e-73,72.34855025390564
Plekha6,Plekha6,18.320961,1.6726102,5.630941505709295e-75,1.8089813626907704e-72,71.74256590750295
Mpped2,Mpped2,18.308361,2.174,7.097325082735818e-75,2.2634250378818292e-72,71.64523388428044
Herc1,Herc1,18.226437,0.79262733,3.184014968077549e-74,1.0008114961890373e-71,70.99964771460282
Mrc2,Mrc2,18.087084,1.3285913,4.0284173936657207e-73,1.2222610024072846e-70,69.91283604466486
Dlc1,Dlc1,18.044899,1.2925639,8.652315053978328e-73,2.6070917036094283e-70,69.58384369239474
Smad6,Smad6,18.01258,2.540393,1.5522061410560516e-72,4.645030034854791e-70,69.33301147350467
Wdr26,Wdr26,17.926748,0.67974204,7.292268775490682e-72,2.1527467234456985e-69,68.66700706310748
Kdr,Kdr,17.87097,1.7106668,1.98515899016416e-71,5.821045734178678e-69,68.2349989885826
Rn7sk,Rn7sk,17.826252,0.83201694,4.420775633130701e-71,1.2876540545807565e-68,67.8902008003047
Furin,Furin,17.77473,1.5892358,1.1093043194703929e-70,3.1885930935513774e-68,67.49640089891336
Arhgef17,Arhgef17,17.726244,0.95426345,2.6303421346344122e-70,7.462485597682604e-68,67.12711649403383
Creb3l2,Creb3l2,17.691437,1.5624396,4.881522370947425e-70,1.375990928445574e-67,66.86138442928294
Podxl,Podxl,17.63935,1.0818872,1.2286267130439386e-69,3.419103803796352e-67,66.46608771384757
Gulp1,Gulp1,17.220781,1.8840216,1.8546945134068256e-66,4.9410645112961964e-64,63.306179475858194
Des,Des,17.152613,3.9053996,6.008924821474836e-66,1.5911268750003458e-63,62.79829518872826
Col4a6,Col4a6,16.791645,2.3329477,2.809525585083368e-63,7.306606091540323e-61,60.13628430539348
Twist1,Twist1,16.780544,2.132468,3.387139806939588e-63,8.756658302070861e-61,60.05766159678318
Meg3,Meg3,16.62309,1.6948427,4.742377845676283e-62,1.2188190026790735e-59,58.914060783285656
