,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,p_log10
9977,Pear1,150.01377796851207,2.6602946227624824,0.1140344097225001,23.328876163223377,2.25842417387376e-120,2.6810298384837535e-119,118.57169835251592
8900,Myl4,148.07811387959933,2.661772795301337,0.1334662875837165,19.943409257051098,1.7100337558701444e-88,1.4611204072770595e-87,86.83531399346933
9475,Ntf3,1509.957695396983,2.6669716439750015,0.0575442539308713,46.34644576639866,0.0,0.0,inf
4359,Ets1,2922.185815975957,2.666986672173227,0.0420187757460932,63.471308357221616,0.0,0.0,inf
9352,Notch4,138.33477861490314,2.6686756133359024,0.141579293982609,18.849335508508116,2.975564495549784e-79,2.2736856842669985e-78,77.64326957264005
2994,Colec12,5084.914059804668,2.668955356419086,0.0425827779102388,62.67687284387683,0.0,0.0,inf
7768,Lcp2,38.142202428686026,2.677425055430404,0.2611795997980088,10.251279416543523,1.1678730256179564e-24,3.6630150693501064e-24,23.436161294679124
1328,Arhgef15,69.24257305366554,2.689215992258669,0.1898904087912042,14.16193692655442,1.575898925118482e-45,7.589651470143655e-45,44.119778167196586
2078,Calcrl,1156.388359505758,2.6964108170160004,0.0600235936379473,44.92251552415064,0.0,0.0,inf
8336,Mecom,9440.106949108284,2.6964651073974597,0.0473061685540318,57.00028537119059,0.0,0.0,inf
5416,Gm15222,39.10844210566947,2.704987990135397,0.2350069789132739,11.510245366515836,1.1714462669785869e-30,4.222087587235323e-30,29.37447276149297
1050,Alx1,148.7855031208115,2.707054542578956,0.1274704453332754,21.236723034121972,4.3735642172292353e-100,4.2272296454914336e-99,98.37394415835487
2332,Ccm2l,50.91450042792457,2.7230609281267033,0.2043951960154331,13.322529008563858,1.7120806282194345e-40,7.533839792139078e-40,39.12298361935039
9885,Pcsk5,3553.5369331423663,2.732064215090765,0.0509350363328641,53.63821078356611,0.0,0.0,inf
13623,Tmem200b,44.07102953229782,2.7353645896842576,0.284788758911948,9.60488960356047,7.623958621214408e-22,2.2219589417156585e-21,20.653263970395635
11704,Sardh,46.77222731129391,2.7375824113589493,0.2165158876822441,12.643794599390272,1.2106703119974583e-36,4.930095422857675e-36,35.3071446747959
7190,Inpp4b,814.9273713912754,2.7377191917400014,0.1281247514156492,21.36760588013609,2.6750233961179375e-101,2.616730319569751e-100,99.58224103347696
1442,Asb2,35.8784552368204,2.7408775804029455,0.2765557605489188,9.910759316539796,3.737944214031141e-23,1.1300437279292651e-22,21.946904750825475
6294,Gm7967,46.99637320600081,2.7416532128586515,0.2116365518039649,12.954535449992562,2.2147274786983887e-38,9.352758911003592e-38,37.0290602604552
12816,Ssc5d,233.09819364357423,2.74187677607981,0.0970159298307645,28.262129537517847,1.0098947617530228e-175,1.853319385782037e-174,173.7320497315013
6781,Hgf,62.69421762313351,2.748746479607937,0.2326670565990588,11.81407681769356,3.301555103793808e-32,1.226394304779572e-31,30.91136987495778
9482,Ntn5,26.50631296893017,2.753426911708445,0.3088824371145624,8.91415820669408,4.915360333609139e-19,1.3258900325259273e-18,17.877492494217538
13376,Tgfb3,214.86657725825364,2.756036123736151,0.1072150163647885,25.70569139642724,1.0095876206008876e-145,1.5135949945853814e-144,143.81999031713912
15025,Zfp366,65.48267690658058,2.7620056166263094,0.204262601014199,13.521837100440685,1.162363941633311e-41,5.239144499217825e-41,40.2807396232456
8931,Myocos,27.67273335909255,2.77159038719715,0.2825774435889246,9.8082506232489,1.0375156098800128e-22,3.097058519837642e-22,21.50905058844287
7308,Itga8,1972.0310779355168,2.785770468420843,0.0612826893076835,45.45770591813059,0.0,0.0,inf
4423,F2rl3,32.369905942663515,2.7953489643073333,0.2752394049866,10.156063825393838,3.113953527944263e-24,9.658650779564428e-24,23.01508353610154
11790,Scx,38.68661602513446,2.800412156785625,0.2459924147352828,11.384140278468353,5.0160494274465545e-30,1.7853008098565558e-29,28.74828859800879
5906,Gm36503,23.531169275436586,2.8015607318330566,0.3286675138032626,8.523996483297239,1.5414031007940976e-17,3.9820442186118655e-17,16.399893921658556
5893,Gm36033,33.74157438384555,2.804734149818927,0.3145296110962566,8.917234024622832,4.780787091775862e-19,1.2913996289837361e-18,17.888939342702006
8577,Mmrn1,36.427410431672605,2.8105404390842037,0.2885546424107799,9.740063149229051,2.0342790300703045e-22,6.022263838875692e-22,21.22024022171303
2981,Col6a1,35.46482677005713,2.812008065960085,0.2642588166762318,10.641113516395322,1.9182305195065255e-26,6.29744036435863e-26,25.200835936501957
5849,Gm32688,19.99103670803777,2.8245077304739987,0.3422585345024717,8.25255602341627,1.5504217630727799e-16,3.8822318890927944e-16,15.410918527385146
4792,Fmo1,47.52237641090727,2.8302880678184525,0.2614279399660807,10.82626466086858,2.5848583883875968e-27,8.653851838661411e-27,26.062790544566298
11505,Robo4,64.24078706426948,2.8373873460481636,0.1962629246311731,14.45707257945086,2.262164007267808e-47,1.1195930318194291e-46,45.95093981318175
2385,Cd226,79.1883466202184,2.839408859643301,0.3779637900061917,7.5123832883483,5.806049845649254e-14,1.3406681084802278e-13,12.872678721399264
6929,Hrc,27.58200966217061,2.8427521137519904,0.2805552886578804,10.132591430912388,3.960125537891032e-24,1.2248704882866256e-23,22.91190982901043
