,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,p_log10
3239,Csmd1,2004.5004129753115,2.181525735633063,0.1043717690699608,20.901492377414588,5.18969152731792e-97,5.6652307720503565e-96,95.2467823945408
12233,Skida1,783.9798575636117,2.1826078591977116,0.0692615015106064,31.51256919926109,5.843670901682637e-218,1.731131744404953e-216,215.7616698797324
11645,Rorb,740.6439388642015,2.187609845309947,0.0859098039369468,25.4640302393838,4.936495840089977e-143,8.457971846105596e-142,141.07273376481473
10524,Podxl2,482.55804300891674,2.1894492409988744,0.0784309292384755,27.91563560775466,1.723639025754364e-171,3.742104698851048e-170,169.42688406571438
2788,Chrnb4,236.15748944747352,2.192634704959449,0.0979031833124384,22.39594904654014,4.31036747182041e-111,5.462027286944345e-110,109.2626461345625
10116,Peg12,685.8863590390206,2.1993310642170085,0.0705114924416709,31.191100742001098,1.4067648588230856e-213,4.051430594343369e-212,211.39239159665613
12982,St8sia3os,186.71106782004168,2.200313211984251,0.1362836731440448,16.14509765713926,1.229537609107709e-58,8.198501849733233e-58,57.08626550101109
2048,C230034O21Rik,22.2764356482956,2.2003539416878413,0.3238777548030493,6.793779162220884,1.0923355644999696e-11,2.4570823022363467e-11,10.60958029618233
6625,Gpr45,226.8572011466398,2.200526870053992,0.1133398403668768,19.415298829881603,5.7301705831706535e-84,5.394144206340695e-83,82.26807744735646
7378,Ipcef1,233.71573278778513,2.203118706991597,0.0918029003113923,23.998356255833887,2.8928719196891636e-127,4.317889500897585e-126,125.36472847588888
2604,Celrr,129.17196992448854,2.21056191919509,0.167026006480784,13.234836692628518,5.521662379297705e-40,2.6203841367727997e-39,38.581635038355074
522,A230057D06Rik,1673.7546259112753,2.2147572622246336,0.1420797084257393,15.588132089827727,8.765941984980728e-55,5.46920086144919e-54,53.26207612646681
10483,Plxnc1,1464.319221607065,2.2187731079836115,0.062601300352714,35.442923637087326,3.728377519963808e-275,1.625719220292084e-273,272.7889544597306
2523,Cdh22,306.1555913455048,2.222069512636211,0.0871797932979835,25.48835491088057,2.653829893900964e-143,4.557013433962906e-142,141.34131969112627
6045,Gm37679,55.584095592538056,2.2230737100039644,0.1835091568966685,12.114238589498544,8.878479119362208e-34,3.724881928915123e-33,32.42888748893806
5058,Gas1,1676.409446183806,2.2240696785962104,0.0472498554481534,47.07040175046987,0.0,0.0,inf
5454,Gm14697,348.334293756104,2.2275770336896454,0.0773452522308865,28.80043660650317,2.1181195254573977e-182,5.027457093834126e-181,180.29865162714407
6413,Gm5441,121.85065775097236,2.227855175658197,0.1378734499990051,16.158696077267038,9.86257617703792e-59,6.593314814649423e-58,57.18089618726238
1347,Arhgap33,294.0618961691321,2.228369221934176,0.1017683320434094,21.896489577756483,2.805829812760263e-106,3.3789678963132323e-105,104.47121593445188
9754,Onecut3,58.45829277864416,2.2309513299671897,0.2521153008428616,8.848932700668163,8.836023429510478e-19,2.5144196461281604e-18,17.599562238667332
8577,Mfng,555.5825246219345,2.242255215268135,0.0960881060103483,23.335408599131423,1.9386127124870004e-120,2.711088750985199e-119,118.56685626499709
1611,Atp6v1b1,23.86006756215886,2.243970078643194,0.2781550565153737,8.067335200570655,7.184908979670912e-16,1.8795305374356517e-15,14.725950613747958
3168,Crabp2,2714.7014661153535,2.246786074992724,0.0484468685529063,46.37629101949335,0.0,0.0,inf
13954,Tox3,11235.543153939863,2.2537979757733093,0.0404208781718047,55.75826349427086,0.0,0.0,inf
14165,Tshz3,3911.208321613399,2.256033974301863,0.0515662565503263,43.750198777762265,0.0,0.0,inf
6027,Gm37229,26.076832376633757,2.256534826022086,0.2985805616773745,7.557540964305442,4.107606824946561e-14,1.011298663658136e-13,12.995120566640786
8030,Lmo3,171.1323309536443,2.2599697875936138,0.1060883861048311,21.302706833153504,1.07147158060343e-100,1.2069995171050103e-99,98.91829290365466
3723,Dmd,5188.549651735861,2.260312319011614,0.0514720233627289,43.91341492606474,0.0,0.0,inf
5732,Gm26688,37.26805431368026,2.261361244032211,0.2655026304346639,8.517283766002826,1.6333893795089015e-17,4.478117862613331e-17,16.348904480116307
7006,Hmx2,25.544927337497697,2.2709256973474257,0.2643068015463274,8.592006274758615,8.546372076928921e-18,2.3610132363439695e-17,16.62690157816692
7071,Hoxd4,289.9353096318453,2.272953739761313,0.0932549321525165,24.37354987341519,3.2632195924074174e-131,5.055385003287459e-130,129.29624576422012
9283,Negr1,1329.9214803726156,2.274158117068293,0.067645161979286,33.61893224181609,8.873213124900558e-248,3.2485586636280984e-246,245.48830928618352
7632,Kcnq4,465.5298349695247,2.2763674919317216,0.0848403709355034,26.831182688513245,1.3986704361993879e-158,2.7517821522335996e-157,156.56038595046113
7055,Hoxb5,316.66404405392166,2.2843189116377887,0.1013035237736202,22.54925422675803,1.3656723427706555e-112,1.7622054677330745e-111,110.75394345557191
13856,Tmprss7,45.215188114444885,2.285547043407718,0.2108772507396993,10.838281679937726,2.2668877815994673e-27,8.130521957894762e-27,26.089881572959797
5414,Gm14066,362.8859502629832,2.2903840572033807,0.0991871339625836,23.09154388982932,5.6306046793576625e-118,7.660287154922787e-117,116.11575495002002
11006,Ptpn5,141.58985642663768,2.291975995377404,0.1444708808739254,15.86462255585975,1.1138509261285e-56,7.159547795566338e-56,55.14511440731396
14377,Ube2l6,69.632112623827,2.297076923209227,0.1635746813052001,14.042985777996446,8.505235296017042e-45,4.475483644070256e-44,43.34916002568856
11911,Scrn1,728.173244346924,2.2976875975986437,0.0667197618952442,34.43788665202689,6.836771104466044e-260,2.7073264758833273e-258,257.5674593695988
7057,Hoxb6,1522.2745421066738,2.302576378559724,0.0698881117699544,32.946610235213484,4.7307808089898454e-238,1.613976054899986e-236,235.79210291279975
4831,Fmn2,10996.26544071689,2.3028681189245996,0.0360929830596485,63.80376249640542,0.0,0.0,inf
3907,Dtna,1100.1231696382918,2.3166513099281243,0.060451646803915,38.32238545035119,0.0,0.0,inf
9479,Nos1ap,5457.024957309963,2.332157735861844,0.0500969470002854,46.55289145361608,0.0,0.0,inf
11293,Rbfox3,3572.524093651345,2.332321730695262,0.0713872367012183,32.67141072369675,3.979459518491543e-234,1.3087531802022083e-232,231.8831422499988
11123,Rab30,1988.111901708018,2.334266718143694,0.0500263613118894,46.66073359984555,0.0,0.0,inf
542,A330076H08Rik,742.5817308651253,2.3383896203520735,0.0867662742525746,26.950444057849893,5.636336005767432e-160,1.1202668862679619e-158,157.95067850105676
6479,Gm9934,51.173709730708374,2.3442658273958004,0.1907855940165183,12.287436268342312,1.058086817805035e-34,4.5309466683551885e-34,33.34381104966707
11896,Scn3a,343.75884995157804,2.348013170741363,0.1141665833087779,20.566553738328704,5.471892605976688e-94,5.782177598541602e-93,92.23790857318386
3686,Disp3,756.4149033343095,2.3480433192069308,0.0833339948945532,28.176296146344953,1.141617191436552e-174,2.531617666095657e-173,172.5966018823998
6316,Gm48747,19.9072528256862,2.352927155665167,0.3116463883075534,7.549990129656634,4.3529122970749074e-14,1.0710137515849389e-13,12.970204952885124
5201,Glis3,6057.860813938872,2.354535950809235,0.0560385376188838,42.01637035609947,0.0,0.0,inf
9217,Ndst4,198.9898234162104,2.3626983248086684,0.1517075426261576,15.574033326944734,1.0929281167264493e-54,6.81072788275579e-54,53.16680647126319
9913,Pard3bos1,95.80830428628884,2.363032657186229,0.1629269631809889,14.5036316337722,1.1490609155445188e-47,6.406922626435909e-47,46.193350520758386
14206,Ttbk1,267.0409253144637,2.366154705221933,0.1166627101436281,20.282013869803514,1.8538377778907035e-91,1.8957262072593798e-90,89.72222438601834
613,AU022754,20.193418820634932,2.3690179091826415,0.303403164494066,7.8081516161278355,5.803275029498432e-15,1.4736502254687414e-14,13.831605585116684
6257,Gm47157,27.212195414768036,2.3717287980498982,0.272374687390236,8.707596218924266,3.1038671366862087e-18,8.690716010602455e-18,17.060944441428937
1258,Apba2,5540.510780798052,2.3720743377082965,0.0518345400403959,45.76242667263336,0.0,0.0,inf
2112,Cacng4,757.5560164810631,2.3772647149628563,0.0794240679062846,29.931288809934507,7.709316658143174e-197,1.9978584721929296e-195,194.6994352803356
7944,Lfng,314.38987382193847,2.3800548974366538,0.0867996290321751,27.42010448632687,1.5794581556330133e-165,3.256033061074537e-164,163.48731119402566
205,2700069I18Rik,143.34067102220564,2.385990157528785,0.1451027725101961,16.443449813208254,9.344485800683072e-61,6.424023608680396e-60,59.19219287166761
2424,Ccser1,1790.4556424198872,2.396668583135953,0.0624764108993985,38.361175820345075,0.0,0.0,inf
14309,Txlnb,179.88070462141914,2.3982509202849474,0.1184691513212295,20.243674353520788,4.0390463416613156e-91,4.111351892564498e-90,89.38601535015748
5847,Gm29260,142.15452991225175,2.4002236607909104,0.1596771560567765,15.031728520624831,4.5497680697290563e-51,2.682341425993321e-50,49.57148594311847
10445,Plk3,359.0070902638566,2.40570408068009,0.0904886629866286,26.585695945530528,9.935214999889629e-156,1.9087171094466175e-154,153.71925843352892
7065,Hoxc6,194.3184475633436,2.409562430393682,0.1109639372680941,21.714824561173103,1.486093194012411e-104,1.7596204920407822e-103,102.75458098899546
9445,Nnmt,24.972353192108717,2.4346282193798996,0.2762716121676082,8.812444392234053,1.2244612734228818e-18,3.4684876546247073e-18,17.459859846944443
12029,Serinc2,473.6755682817782,2.436042544367833,0.0720688260797841,33.80161266496836,1.867481398188611e-250,6.935146828727706e-249,248.1589443397484
2704,Cfap97d2,79.96940633854521,2.437289237244626,0.1841637453773627,13.234359630612811,5.556832996105392e-40,2.636268905823472e-39,38.5790102927279
4296,Epha10,338.77532504407446,2.437583520135719,0.1052676981568324,23.15604466342656,1.263562594579675e-118,1.73577718191684e-117,116.7605060250551
842,Adamts20,1678.488670299328,2.4387031308886753,0.0756833641794188,32.222446205051895,8.558851553216275e-228,2.6949097902753804e-226,225.56945576785807
14638,Vit,93.96817488556924,2.438767926501575,0.149375985237952,16.326372158260124,6.408347869507231e-60,4.366847409058856e-59,58.35983198338472
11884,Scg3,355.25430821520655,2.438768742441078,0.091801526964306,26.56566642283969,1.693081416512539e-155,3.240653862949955e-154,153.48936735386096
12844,Spock2,782.3496170684253,2.4408234156634276,0.0893428715729845,27.31973321083047,2.472693172940433e-164,5.0571299240519555e-163,162.29609588865063
13217,Syt2,476.55350365832345,2.441488317198119,0.1510218181301821,16.16646089569347,8.69519968403783e-59,5.8204219359775434e-58,57.235045531187794
7064,Hoxc5,1501.0888753420434,2.4422430313640926,0.0628848682428331,38.83673607986653,0.0,0.0,inf
12963,St18,918.010227764526,2.4473886556655406,0.0815812665432953,29.999395196527203,9.993308051090106e-198,2.620373663464049e-196,195.58163677417284
8472,Me3,217.17055039137085,2.450441347481203,0.1270789016077543,19.28283386525334,7.486067261860978e-83,6.954292166718609e-82,81.1577470675026
5421,Gm14207,21.295799441996017,2.4518094173616443,0.3190104087110291,7.685672161194525,1.5219578708303595e-14,3.8142318419276183e-14,13.418592912598427
12921,Srrm3,582.2462622996294,2.4557145433651515,0.1103115921829674,22.261618156068305,8.704808872413993e-110,1.0818634757924932e-108,107.9658275409401
9625,Nuak2,824.1113789013829,2.463518421196729,0.0565802594820254,43.54024608139781,0.0,0.0,inf
11019,Ptprn2,5914.394630517221,2.4712226635090926,0.0570605753164008,43.30875827672899,0.0,0.0,inf
6475,Gm9866,397.4980132452909,2.475596961683812,0.1107825039310043,22.346461524516727,1.3070032716716848e-110,1.638821630546007e-109,108.78546831249729
1723,B630019K06Rik,109.49707618328264,2.4810268500567987,0.164219226147197,15.1080169372674,1.4339040599431458e-51,8.50859813551126e-51,50.0701419877607
14844,Wscd1,932.5938795074244,2.492659317653164,0.0653577011132902,38.13872390236642,0.0,0.0,inf
9038,Mylk,2346.5305040622143,2.494840171601525,0.0649994952672628,38.3824545305055,0.0,0.0,inf
7052,Hoxb3,5184.508065204095,2.4984984960816603,0.0636774966847142,39.2367575071685,0.0,0.0,inf
13728,Tmem169,86.09234773001047,2.498694490649407,0.1670194672596144,14.96049850743114,1.330258256924387e-50,7.783489981996705e-50,49.108825629222395
8337,Map6,695.5953119653221,2.5053461101812124,0.0829995604490243,30.185052747597577,3.721330124658403e-200,1.001147444108707e-198,197.99950195703892
13486,Tfap2b,179.78906844142216,2.505890949602897,0.1329020871426916,18.855166261703797,2.6649981806506403e-79,2.3940258540648085e-78,77.62087116378046
7063,Hoxc4,3058.7506072448473,2.510257425888626,0.0748310229051732,33.54567836216342,1.0408923929487716e-246,3.775180517697145e-245,244.42306227689164
6444,Gm7694,160.83815963603618,2.513100839699103,0.1185684547375735,21.19535794964458,1.0539422333152073e-99,1.1786992282242048e-98,97.92859700083103
5015,Gadd45g,341.67186826067405,2.525227322033062,0.1739775216759936,14.51467579090999,9.781908549268854e-48,5.464000230669321e-47,46.262489290992264
5640,Gm20089,43.00860466984296,2.5386446986416096,0.2410494180904542,10.531635872644912,6.175186916559489e-26,2.136812895803677e-25,24.67023350398356
3932,Dusp23,121.78638950355298,2.542572979982394,0.1362175438743172,18.66553240989523,9.44293889407375e-78,8.309679163985645e-77,76.08041574396564
11256,Rasgef1c,112.61565657281476,2.54357657926112,0.3602378421009947,7.060825604623775,1.6551621842703965e-12,3.848574383827047e-12,11.414700115139723
